word,count
'the,141883
'be,121962
'that,72223
'you,65249
'to,57808
'of,56185
'in,43409
'it,40776
'not,39448
'and,36783
'have,36140
'do,33763
'mr,30118
'we,24630
'this,20335
'would,16731
'say,16574
'well,16569
'case,15950
'they,15770
'if,14895
'on,14744
'but,14693
'what,14596
'there,13764
'for,13553
'or,13297
'he,13252
'court,12464
'as,12242
'your,11888
'will,10635
'thank,9677
'think,9400
'state,8862
'with,8606
'no,8096
'an,7726
'from,7711
'now,7640
'by,7580
'at,7569
'any,7529
'may,7018
'go,6976
'can,6897
'so,6789
'argument,6574
'one,6557
'hear,6343
'about,6261
'which,5985
'question,5914
'could,5908
'make,5886
'then,5840
'just,5716
'all,5664
'get,5329
'very,5061
'yes,5038
'right,4960
'here,4952
'other,4924
's,4725
'when,4703
'time,4702
'submit,4689
'take,4664
'because,4597
'some,4491
'under,4402
'how,4091
'mean,4040
'know,3973
'against,3962
'his,3939
'statute,3899
'these,3711
'where,3664
'whether,3603
'law,3538
'who,3447
'out,3386
'proceed,3336
'them,3250
'number,3197
'minute,3192
'first,3099
'why,3083
'give,3064
'government,3002
'before,2987
'me,2986
'general,2974
'us,2912
'counsel,2910
'fact,2893
'should,2885
'than,2854
'want,2825
'ask,2821
'judge,2772
'justice,2741
'next,2720
'same,2702
'those,2688
'come,2682
'act,2665
'federal,2661
'him,2648
'way,2623
'suppose,2589
'only,2560
'more,2546
'thing,2504
'point,2430
'their,2421
'ready,2403
'people,2372
'district,2350
'rule,2350
'anything,2321
'might,2320
'record,2314
'united,2301
'appeal,2289
'use,2274
'up,2271
'two,2263
'year,2228
v,2224
'trial,2222
'congress,2210
'whenever,2129
'find,2112
'let,2102
'like,2081
'its,2076
'talk,2048
'ms,2046
'claim,2024
'versus,2011
'into,1989
'suggest,1968
'different,1966
'our,1942
'remain,1920
'kind,1916
'issue,1915
'answer,1884
'jury,1874
'something,1840
'evidence,1839
'put,1803
'after,1801
'far,1797
'position,1784
'even,1763
'see,1759
'order,1731
'my,1683
'new,1643
'decide,1631
'matter,1613
'part,1590
'petitioner,1553
'action,1509
'back,1508
'show,1503
'person,1499
'tell,1487
'company,1485
'commission,1484
'seem,1479
'between,1475
'reason,1467
'brief,1467
'understand,1463
'defendant,1455
'opinion,1454
'man,1450
'word,1449
'particular,1433
'much,1433
'try,1432
'require,1421
'over,1403
'read,1392
'must,1374
'situation,1346
'inaudible,1344
'three,1332
'board,1331
'decision,1320
'amendment,1314
'apply,1310
'section,1295
'pay,1293
'view,1279
'power,1275
'leave,1271
'judgment,1269
'really,1266
'certainly,1266
'hold,1261
'also,1258
'tax,1252
'difference,1249
'day,1233
'agree,1232
'course,1230
'attorney,1208
'purpose,1207
'look,1203
'statement,1202
'without,1201
'many,1201
'party,1191
'circuit,1188
'term,1180
'problem,1168
